City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Stanley,GB,2021-02-07 22:29:36,54.868,-1.6985,33.8,64,90,16.11
93,Itoman,JP,2021-02-07 22:29:36,26.1247,127.6694,60.8,72,20,5.75
94,Peruibe,BR,2021-02-07 22:29:36,-24.32,-46.9983,73.02,70,11,6.24
95,Grand Gaube,MU,2021-02-07 22:29:36,-20.0064,57.6608,75.99,86,64,1.01
96,Hofn,IS,2021-02-07 22:29:36,64.2539,-15.2082,36.18,90,100,17.36
97,Pisco,PE,2021-02-07 22:29:37,-13.7,-76.2167,75.2,78,90,9.22
98,Ust-Nera,RU,2021-02-07 22:29:37,64.5667,143.2,-6.72,76,100,6.53
99,Krasnyy Klyuch,RU,2021-02-07 22:29:37,55.3863,56.6529,-4.05,90,100,12.62
100,College,US,2021-02-07 22:29:37,64.8569,-147.8028,-7.01,70,20,4.61
101,Pevek,RU,2021-02-07 22:29:37,69.7008,170.3133,-7.08,85,0,1.41
102,Vaini,TO,2021-02-07 22:27:38,-21.2,-175.2,78.8,94,75,14.97
103,Manokwari,ID,2021-02-07 22:26:21,-0.8667,134.0833,79.03,77,100,2.84
104,Bhinmal,IN,2021-02-07 22:29:39,25.0,72.25,56.82,36,0,4.85
105,New Norfolk,AU,2021-02-07 22:29:39,-42.7826,147.0587,57.99,66,50,1.99
106,Adrar,MR,2021-02-07 22:29:40,20.5022,-10.0711,59.05,33,0,9.33
107,Lompoc,US,2021-02-07 22:29:40,34.6391,-120.4579,64.99,72,1,14.97
108,Basco,PH,2021-02-07 22:29:40,20.4487,121.9702,73.69,83,59,22.77
109,Kralendijk,BQ,2021-02-07 22:29:40,12.15,-68.2667,80.6,69,40,18.41
110,Broken Hill,AU,2021-02-07 22:29:40,-31.95,141.4333,64.4,52,0,12.66
111,Beringovskiy,RU,2021-02-07 22:29:40,63.05,179.3167,2.08,90,100,16.13
112,Comodoro Rivadavia,AR,2021-02-07 22:29:40,-45.8667,-67.5,64.4,55,20,23.02
113,Ribeira Grande,PT,2021-02-07 22:25:18,38.5167,-28.7,59.0,77,40,11.5
114,Pottstown,US,2021-02-07 22:26:04,40.2454,-75.6496,35.01,86,75,6.91
115,Lethem,GY,2021-02-07 22:29:41,3.3803,-59.7968,84.2,74,20,13.8
116,Tasiilaq,GL,2021-02-07 22:29:41,65.6145,-37.6368,26.6,46,0,18.41
117,Opuwo,NA,2021-02-07 22:29:41,-18.0607,13.84,71.94,31,80,6.51
118,Atambua,ID,2021-02-07 22:29:41,-9.1061,124.8925,74.55,89,100,2.84
119,Santiago De Cuba,CU,2021-02-07 22:29:41,20.0247,-75.8219,80.6,78,40,4.61
120,Husavik,IS,2021-02-07 22:29:42,66.0449,-17.3389,30.2,86,90,6.82
121,Jacareacanga,BR,2021-02-07 22:26:44,-6.2222,-57.7528,77.36,94,100,1.81
122,Pussi,EE,2021-02-07 22:29:42,59.36,27.0497,17.73,96,97,7.45
123,Kandalaksha,RU,2021-02-07 22:29:42,67.162,32.4123,14.0,94,51,6.22
124,Maniitsoq,GL,2021-02-07 22:29:42,65.4167,-52.9,26.02,80,0,19.28
125,Taoudenni,ML,2021-02-07 22:29:42,22.6783,-3.9836,61.03,31,0,7.36
126,Beaverlodge,CA,2021-02-07 22:29:43,55.2166,-119.4361,-27.4,75,40,3.44
127,Bekobod,UZ,2021-02-07 22:25:14,40.2208,69.2697,44.6,76,75,13.42
128,Souillac,MU,2021-02-07 22:29:43,-20.5167,57.5167,80.6,74,20,8.05
129,Turayf,SA,2021-02-07 22:29:43,31.6725,38.6637,48.2,87,0,4.61
130,Torres,BR,2021-02-07 22:25:12,-29.3353,-49.7269,72.28,74,20,6.26
131,Upernavik,GL,2021-02-07 22:27:53,72.7868,-56.1549,18.21,79,2,3.24
132,Aykhal,RU,2021-02-07 22:29:44,66.0,111.5,-24.52,84,96,5.35
133,Ferme-Neuve,CA,2021-02-07 22:29:44,46.7001,-75.4493,19.4,79,100,8.05
134,Celestun,MX,2021-02-07 22:29:44,20.8667,-90.4,77.09,76,1,11.34
135,Orotukan,RU,2021-02-07 22:29:44,62.2667,151.7,-7.11,89,100,6.85
136,Boyuibe,BO,2021-02-07 22:29:44,-20.4167,-63.2833,86.0,45,40,4.52
137,Banjar,ID,2021-02-07 22:29:44,-8.19,114.9675,78.8,94,20,1.14
138,Mitzic,GA,2021-02-07 22:29:45,0.7821,11.549,70.59,94,95,3.94
139,Bengkulu,ID,2021-02-07 22:29:45,-3.8004,102.2655,75.43,82,90,5.55
140,Arlit,NE,2021-02-07 22:29:45,18.7369,7.3853,68.99,19,100,3.53
141,Port Elizabeth,ZA,2021-02-07 22:29:45,-33.918,25.5701,64.4,94,75,10.36
142,Norman Wells,CA,2021-02-07 22:29:45,65.282,-126.8329,-22.0,69,40,4.61
143,Erenhot,CN,2021-02-07 22:29:46,43.6475,111.9767,8.19,86,0,6.17
144,Anadyr,RU,2021-02-07 22:29:46,64.75,177.4833,10.4,52,100,15.66
145,Ugoofaaru,MV,2021-02-07 22:29:46,5.6667,73.0,81.27,72,10,9.13
146,Coquimbo,CL,2021-02-07 22:27:13,-29.9533,-71.3436,66.2,63,0,10.36
147,Kibala,TD,2021-02-07 22:29:46,9.1104,18.3463,73.4,20,0,4.5
148,Acapulco,MX,2021-02-07 22:27:10,16.8634,-99.8901,84.2,70,1,5.75
149,Kushima,JP,2021-02-07 22:29:46,31.4583,131.2333,50.0,62,40,9.22
150,Yellowknife,CA,2021-02-07 22:28:54,62.456,-114.3525,-29.0,61,20,6.91
151,Usinsk,RU,2021-02-07 22:29:47,65.9939,57.5281,-18.09,87,100,16.58
152,Bethel,US,2021-02-07 22:27:35,41.3712,-73.414,30.2,86,90,4.61
153,Stephenville,US,2021-02-07 22:29:47,32.2207,-98.2023,66.2,27,1,10.36
154,Brae,GB,2021-02-07 22:29:47,60.3964,-1.353,32.0,89,93,1.36
155,Cabo San Lucas,MX,2021-02-07 22:29:47,22.8909,-109.9124,73.99,53,20,11.5
156,Ilorin,NG,2021-02-07 22:29:09,8.5,4.55,83.62,15,93,4.07
157,Kachiry,KZ,2021-02-07 22:29:49,53.0675,76.1036,12.9,94,25,12.01
158,Katobu,ID,2021-02-07 22:29:50,-4.9408,122.5276,75.36,92,94,1.79
159,Sydney Mines,CA,2021-02-07 22:29:50,46.2367,-60.2177,30.2,55,90,3.44
160,Ndele,CF,2021-02-07 22:29:50,8.4109,20.6473,67.87,24,54,7.05
161,Margate,GB,2021-02-07 22:29:50,51.3813,1.3862,32.0,78,100,4.0
162,Okhotsk,RU,2021-02-07 22:29:50,59.3833,143.3,14.32,89,100,21.5
163,Bredasdorp,ZA,2021-02-07 22:26:39,-34.5322,20.0403,60.8,77,5,4.61
164,Tralee,IE,2021-02-07 22:29:51,52.2704,-9.7026,33.75,89,93,13.67
165,Yafran,LY,2021-02-07 22:29:51,32.0633,12.5286,58.08,35,59,12.84
166,Witu,KE,2021-02-07 22:29:51,-2.3889,40.4382,78.8,89,1,6.91
167,Turtas,RU,2021-02-07 22:29:51,58.9417,69.1325,0.61,90,100,14.18
168,Sola,VU,2021-02-07 22:29:51,-13.8833,167.55,80.98,75,100,7.56
169,Kailua,US,2021-02-07 22:28:36,21.4022,-157.7394,78.8,50,40,5.75
170,Havre-Saint-Pierre,CA,2021-02-07 22:29:52,50.2334,-63.5986,21.2,73,1,13.8
171,Olafsvik,IS,2021-02-07 22:29:52,64.8945,-23.7142,35.85,79,24,13.8
172,Vallenar,CL,2021-02-07 22:29:52,-28.5708,-70.7581,80.1,29,0,8.61
173,Camabatela,AO,2021-02-07 22:29:52,-8.1881,15.375,64.4,100,100,3.89
174,Vazante,BR,2021-02-07 22:29:52,-17.9869,-46.9078,70.68,90,100,5.03
175,Ishigaki,JP,2021-02-07 22:26:01,24.3448,124.1572,68.0,77,40,9.22
176,Tautira,PF,2021-02-07 22:26:54,-17.7333,-149.15,86.0,70,20,6.91
