City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Hambantota,LK,76.17,clear sky,6.1241,81.1185,Bungalow 63
171,Butaritari,KI,81.05,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
174,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
179,Cairns,AU,90.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
184,Mount Isa,AU,82.4,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
191,Sao Jose Da Coroa Grande,BR,78.6,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
194,Mareeba,AU,90.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
195,Takoradi,GH,79.81,broken clouds,4.8845,-1.7554,Raybow International Hotel
196,Kathu,TH,75.2,few clouds,7.9178,98.3332,Novotel Phuket Resort
201,Gizo,SB,84.7,light rain,-8.103,156.8419,Imagination Island
207,Port Blair,IN,76.95,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
209,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
213,Benguela,AO,76.42,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
215,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Namatanai Hotel
222,Alugan,PH,79.52,overcast clouds,12.2188,125.4808,JM Lodge
223,Yulara,AU,82.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
229,Nanakuli,US,78.8,few clouds,21.3906,-158.1547,Camp Pālehua
232,Feijo,BR,76.71,light rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
234,Bonthe,SL,79.16,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
236,Tomatlan,MX,76.35,clear sky,19.9333,-105.25,Norma franco
240,Mahina,PF,87.01,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
248,Belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
251,Sorong,ID,81.86,overcast clouds,-0.8833,131.25,The Waigo Hotel
256,Caninde De Sao Francisco,BR,79.79,overcast clouds,-9.66,-37.7894,Xingo Parque Hotel
258,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
262,Progreso,MX,78.01,few clouds,21.2833,-89.6667,Playa Linda Hotel
264,Chilca,PE,79.0,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
272,Yeppoon,AU,86.0,few clouds,-23.1333,150.7333,Villa Mar Colina
281,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
285,Maningrida,AU,82.31,light rain,-12.0667,134.2667,Dhukurrdji Lodge
289,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
296,Yenagoa,NG,79.92,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
297,Port Macquarie,AU,78.01,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
299,Polewali,ID,79.95,broken clouds,-3.4324,119.3435,Lilianto Hotel
300,Pemba,MZ,80.01,light rain,-12.974,40.5178,Guesthouse Samotina
301,Imbituba,BR,75.2,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
302,Kualakapuas,ID,77.0,broken clouds,-3.0091,114.3876,Guest House Izonk
311,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Vogan,TG,84.2,few clouds,6.3333,1.5333,Hotel Sitsope Phenix
343,Itaquitinga,BR,80.6,scattered clouds,-7.6678,-35.1017,Eluzair
344,Kendari,ID,80.28,broken clouds,-3.945,122.4989,Hotel Wixel
347,Bodden Town,KY,80.6,clear sky,19.2833,-81.25,Will T Place
351,Kulhudhuffushi,MV,81.07,scattered clouds,6.6221,73.07,Haajy Guest House 1
352,Dicabisagan,PH,76.48,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
353,Harper,LR,79.29,broken clouds,4.375,-7.7169,Screensaver
355,Cape Coast,GH,80.55,broken clouds,5.1053,-1.2466,Samrit Hotel
358,Aden,YE,75.02,clear sky,12.7794,45.0367,Sama Emirate Hotel
369,San Jose De Rio Tinto,HN,84.2,few clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
370,Grand Gaube,MU,75.99,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
371,Manadhoo,MV,81.19,few clouds,5.7667,73.3833,Vevu Guesthouse
377,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
390,Puerto Colombia,CO,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
394,Kupang,ID,78.8,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
396,Byron Bay,AU,80.6,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
398,Coihaique,CL,77.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
399,Blackwater,AU,87.22,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
401,Humaita,BR,76.82,light rain,-7.5061,-63.0208,Corrêa Hotel
412,Casambalangan,PH,76.91,few clouds,18.3765,122.1274,Villa Saturnina
415,Waingapu,ID,81.41,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
418,Tagusao,PH,80.55,overcast clouds,9.1924,117.8141,Toledo
419,George Town,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
430,Auki,SB,84.61,scattered clouds,-8.7676,160.7034,Auki Motel
432,Hobe Sound,US,75.2,broken clouds,27.0595,-80.1364,Floridays RV Park
433,Tabou,CI,79.02,broken clouds,4.423,-7.3528,hotêl doufoulougou
438,Nampula,MZ,75.2,scattered clouds,-15.1165,39.2666,Tacab Residencial
441,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,Villa Maido
444,Buala,SB,84.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
449,Makakilo City,US,78.8,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
450,Lorengau,PG,83.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
453,Riohacha,CO,79.75,broken clouds,11.5444,-72.9072,Hotel Taroa
455,La Primavera,CO,87.35,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
464,Makaha,US,78.8,overcast clouds,21.4694,-158.2175,Makaha Resort
467,Palmerston,AU,82.99,broken clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
471,Dzaoudzi,YT,75.2,light rain,-12.7887,45.2699,Le Rocher
473,Tera,NE,75.49,clear sky,14.0078,0.7531,Hotel Dar es salam
475,Caravelas,BR,75.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
481,Poum,NC,80.53,scattered clouds,-20.2333,164.0167,Gîte kajeon
498,Otane,NZ,81.0,clear sky,-39.8833,176.6333,Ludlow Farmstay
