City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,17.27,snow
111,Hilo,US,19.7297,-155.09,82.4,47,20,14.97,few clouds
112,Key Largo,US,25.0865,-80.4473,75.99,96,36,3.51,scattered clouds
113,Thompson,CA,55.7435,-97.8558,-25.6,68,40,17.27,snow
114,Ondjiva,AO,-17.0667,15.7333,76.48,42,98,9.66,overcast clouds
115,Codrington,AU,-38.2667,141.9667,59.81,65,100,13.67,overcast clouds
116,Port Hedland,AU,-20.3167,118.5667,78.8,78,31,9.22,scattered clouds
117,Katima Mulilo,NA,-17.5,24.2667,68.11,96,98,5.97,overcast clouds
118,Sainthia,IN,23.95,87.6667,58.23,58,0,6.98,clear sky
119,Kralendijk,BQ,12.15,-68.2667,78.8,78,40,16.11,scattered clouds
120,Lompoc,US,34.6391,-120.4579,59.0,82,1,13.8,clear sky
121,Marquette,US,46.5333,-87.6335,0.0,63,83,10.83,broken clouds
122,Leningradskiy,RU,69.3833,178.4167,-14.71,85,0,8.19,clear sky
123,Arraial Do Cabo,BR,-22.9661,-42.0278,75.04,82,100,6.24,light rain
124,Kurumkan,RU,54.3,110.3,3.67,88,100,2.33,overcast clouds
125,Salalah,OM,17.0151,54.0924,71.6,68,75,5.75,broken clouds
126,Black River,JM,18.0264,-77.8487,80.6,74,20,10.36,few clouds
127,Marsa Matruh,EG,31.3525,27.2453,51.8,87,0,9.22,clear sky
128,Bantry,IE,51.6833,-9.45,35.6,69,90,19.57,overcast clouds
129,Killybegs,IE,54.6333,-8.45,34.0,79,62,5.01,broken clouds
130,Touros,BR,-5.1989,-35.4608,80.6,83,20,12.66,few clouds
131,Shitanjing,CN,39.2342,106.3439,26.67,78,96,0.98,overcast clouds
132,Zhigansk,RU,66.7697,123.3711,-31.67,77,7,3.09,clear sky
133,Pudozh,RU,61.8099,36.5345,-13.63,89,13,3.04,few clouds
134,Walvis Bay,NA,-22.9575,14.5053,64.99,82,15,11.5,few clouds
135,Faya,SA,18.3851,42.4509,55.4,47,0,10.36,clear sky
136,Saint George,US,37.1041,-113.5841,62.6,16,1,3.44,clear sky
137,Sinjar,IQ,36.3209,41.8754,47.89,60,4,0.94,clear sky
138,Necochea,AR,-38.5473,-58.7368,59.0,75,96,14.88,overcast clouds
139,Broken Hill,AU,-31.95,141.4333,68.0,42,0,13.8,clear sky
140,Maumere,ID,-8.6199,122.2111,81.59,74,100,3.18,overcast clouds
141,Ejura,GH,7.3856,-1.3562,81.61,66,38,7.47,scattered clouds
142,Ingham,US,42.6,-84.3833,8.6,66,90,5.75,overcast clouds
143,Namibe,AO,-15.1961,12.1522,72.52,76,99,4.99,overcast clouds
144,Ust-Shonosha,RU,61.1531,41.343,-21.71,85,50,7.14,scattered clouds
145,Nandyal,IN,15.4833,78.4833,64.13,73,99,3.13,overcast clouds
146,Turukhansk,RU,65.8167,87.9833,11.61,96,99,18.77,light snow
147,Longyearbyen,SJ,78.2186,15.6401,14.0,44,20,23.02,few clouds
148,Sibu,MY,2.3,111.8167,75.2,94,40,2.3,scattered clouds
149,Fiumicino,IT,41.7675,12.2291,55.4,76,40,14.97,scattered clouds
150,Hithadhoo,MV,-0.6,73.0833,81.61,71,37,6.67,scattered clouds
151,Strezhevoy,RU,60.7333,77.5889,10.4,85,75,13.42,snow
152,Simplicio Mendes,BR,-7.8539,-41.9103,77.94,65,24,2.62,few clouds
153,Meulaboh,ID,4.1363,96.1285,76.32,85,63,3.87,broken clouds
154,Bogovarovo,RU,58.9785,47.0246,-21.57,85,100,7.87,overcast clouds
155,San Matias,BO,-16.3667,-58.4,77.09,53,49,3.51,scattered clouds
156,Ucluelet,CA,48.9329,-125.5528,45.0,70,20,13.8,few clouds
157,Sinnamary,GF,5.3833,-52.95,78.03,83,100,13.85,overcast clouds
158,Kaitangata,NZ,-46.2817,169.8464,64.99,86,99,7.0,overcast clouds
159,Hambantota,LK,6.1241,81.1185,76.17,81,3,13.82,clear sky
160,Peniche,PT,39.3558,-9.3811,57.0,87,76,11.99,broken clouds
161,Gallup,US,35.5281,-108.7426,53.6,11,1,14.97,clear sky
162,Bom Jesus Do Itabapoana,BR,-21.1339,-41.6797,68.85,92,100,2.98,moderate rain
163,Pacific Grove,US,36.6177,-121.9166,60.01,77,1,6.91,clear sky
164,Sao Filipe,CV,14.8961,-24.4956,68.88,75,100,14.07,overcast clouds
165,Upernavik,GL,72.7868,-56.1549,18.28,79,12,4.36,few clouds
166,Provideniya,RU,64.3833,-173.3,-0.54,83,74,17.72,broken clouds
167,Penzance,GB,50.1186,-5.5371,36.0,69,90,25.32,overcast clouds
168,Mingshui,CN,36.7167,117.5,37.99,33,2,3.18,clear sky
169,Batagay-Alyta,RU,67.8006,130.4114,-31.16,77,0,3.0,clear sky
170,Jumla,NP,29.2747,82.1838,34.9,56,0,6.02,clear sky
171,Butaritari,KI,3.0707,172.7902,81.05,80,90,19.35,overcast clouds
172,Aksay,RU,47.26,39.87,15.8,73,0,6.71,snow
173,Kholodnyy,RU,62.7167,147.95,-4.59,85,97,10.33,overcast clouds
174,Georgetown,MY,5.4112,100.3354,80.01,83,20,2.3,few clouds
175,Homer,US,59.6425,-151.5483,28.4,86,1,6.91,clear sky
176,Mar Del Plata,AR,-38.0023,-57.5575,62.01,94,90,14.97,overcast clouds
177,Erzin,TR,36.9559,36.2,55.4,76,40,10.36,scattered clouds
178,East London,ZA,-33.0153,27.9116,71.46,82,95,9.73,light rain
179,Cairns,AU,-16.9167,145.7667,90.0,74,40,3.44,scattered clouds
180,Urumqi,CN,43.801,87.6005,8.6,92,100,2.24,mist
181,Port Elizabeth,ZA,-33.918,25.5701,64.99,90,72,1.01,broken clouds
182,Sudak,UA,44.85,34.9667,36.55,85,100,7.07,overcast clouds
183,Kongolo,CD,-5.3833,27.0,71.64,92,99,1.16,overcast clouds
184,Mount Isa,AU,-20.7333,139.5,82.4,69,90,11.5,overcast clouds
185,Severo-Kurilsk,RU,50.6789,156.125,23.29,91,34,17.56,scattered clouds
186,Chokurdakh,RU,70.6333,147.9167,-17.7,88,100,7.94,overcast clouds
187,Lagos,NG,6.5833,3.75,82.4,89,40,9.22,scattered clouds
188,Ponta Delgada,PT,37.7333,-25.6667,57.0,82,20,8.05,few clouds
189,Saravan,AM,39.7196,45.6483,30.2,86,20,4.61,few clouds
190,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,13.8,clear sky
191,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.6,79,89,9.15,overcast clouds
192,Estelle,US,29.8458,-90.1067,57.2,67,20,10.36,few clouds
193,Boquira,BR,-12.8231,-42.7306,69.6,91,100,1.72,moderate rain
194,Mareeba,AU,-17.0,145.4333,90.0,74,84,3.44,broken clouds
195,Takoradi,GH,4.8845,-1.7554,79.81,86,61,8.93,broken clouds
196,Kathu,TH,7.9178,98.3332,75.2,94,20,13.02,few clouds
197,Harbin,CN,45.75,126.65,-23.8,83,0,2.24,smoke
198,Yinchuan,CN,38.4681,106.2731,29.55,80,98,4.29,overcast clouds
199,Clyde River,CA,70.4692,-68.5914,-2.2,84,75,9.22,light snow
